Gene type	Gene name
protein_coding	AGER
unprocessed_pseudogene	
transcribed_processed_pseudogene	HCG22
protein_coding	PRR3
protein_coding	TAP2
unprocessed_pseudogene	STK19B
lncRNA	
protein_coding	PSMB9
processed_pseudogene	
protein_coding	CCL15-CCL14
lncRNA	
lncRNA	
protein_coding	DHRS11
unprocessed_pseudogene	
lncRNA	ZNRD1ASP
protein_coding	RXRB
lncRNA	
lncRNA	
processed_pseudogene	
unprocessed_pseudogene	MCCD1P2
protein_coding	LY6G6E
protein_coding	
protein_coding	OR5P2
protein_coding	OR5P3
protein_coding	TSBP1
unprocessed_pseudogene	OR5E1P
snRNA	RNU6-943P
protein_coding	OR10A6
protein_coding	VPS52
protein_coding	OR10A3
protein_coding	NLRP10
protein_coding	C2
lncRNA	
protein_coding	PPP1R18
lncRNA	
lncRNA	
protein_coding	ARHGAP23
protein_coding	LY6G5C
protein_coding	PRRC2A
protein_coding	TNF
protein_coding	NEU1
unprocessed_pseudogene	HLA-W
transcribed_unprocessed_pseudogene	HLA-J
protein_coding	LY6G6E
protein_coding	LY6G6C
miRNA	MIR564
protein_coding	DDAH2
lncRNA	
protein_coding	TMEM42
lncRNA	
protein_coding	TBC1D3I
lncRNA	
unprocessed_pseudogene	DDX39BP2
protein_coding	TRIM15
protein_coding	TGM4
protein_coding	DXO
lncRNA	
unprocessed_pseudogene	
lncRNA	SAPCD1-AS1
lncRNA	
protein_coding	STK19
protein_coding	PSMB3
protein_coding	
protein_coding	C2
transcribed_unprocessed_pseudogene	HLA-V
protein_coding	MSH5
unprocessed_pseudogene	
processed_pseudogene	MYL12BP3
protein_coding	TBC1D3F
protein_coding	EHMT2
unprocessed_pseudogene	TBC1D3JP
protein_coding	CCL4L2
processed_pseudogene	USP8P1
unprocessed_pseudogene	OR2P1P
lncRNA	
protein_coding	
processed_pseudogene	SAR1AP1
unprocessed_pseudogene	GPR53P
protein_coding	TAP1
protein_coding	BRD2
protein_coding	CCL3L3
protein_coding	PSMB9
misc_RNA	Y_RNA
snRNA	U6
misc_RNA	Y_RNA
misc_RNA	7SK
protein_coding	
sRNA	
snRNA	U6
unprocessed_pseudogene	
snRNA	U6
misc_RNA	Metazoa_SRP
rRNA	5S_rRNA
rRNA	5S_rRNA
lncRNA	C6orf47-AS1
unprocessed_pseudogene	HCG4B
protein_coding	B3GALT4
unprocessed_pseudogene	
protein_coding	C6orf136
protein_coding	OR2H1
protein_coding	FOXR1
protein_coding	HSD17B8
processed_pseudogene	ZDHHC20P1
protein_coding	PPP1R10
misc_RNA	Metazoa_SRP
misc_RNA	Y_RNA
lncRNA	CENATAC-DT
protein_coding	CENATAC
protein_coding	HLA-DQB1
protein_coding	HLA-DPA1
lncRNA	LINC01015
processed_pseudogene	RPL13P
protein_coding	LY6G6F-LY6G6D
processed_pseudogene	SUMO2P1
unprocessed_pseudogene	HCG4
unprocessed_pseudogene	MCCD1P2
protein_coding	MCCD1
protein_coding	NOTCH4
protein_coding	C4B
processed_pseudogene	PPIAP9
processed_pseudogene	SUMO2P1
processed_pseudogene	SUCLA2P1
lncRNA	SAPCD1-AS1
unprocessed_pseudogene	
unprocessed_pseudogene	MCCD1P2
processed_pseudogene	RPL32P1
protein_coding	MOG
protein_coding	CSNK2B
processed_pseudogene	
processed_pseudogene	RPL23AP64
lncRNA	
processed_pseudogene	
protein_coding	TSBP1
protein_coding	RPS25
transcribed_unprocessed_pseudogene	HLA-J
processed_pseudogene	SAR1AP1
protein_coding	MDC1
protein_coding	VARS2
processed_pseudogene	WASF5P
lncRNA	
protein_coding	OR14J1
processed_pseudogene	UBQLN1P1
lncRNA	HCG17
protein_coding	RXRB
protein_coding	TRAPPC4
protein_coding	OR2H1
unprocessed_pseudogene	DDX39BP2
unprocessed_pseudogene	HLA-H
snRNA	RNU6-280P
misc_RNA	Y_RNA
protein_coding	LST1
protein_coding	LSM2
miRNA	
protein_coding	SLC37A4
lncRNA	
processed_pseudogene	ZNF70P1
processed_pseudogene	RPL7P4
protein_coding	IER3
protein_coding	HYOU1
protein_coding	ZBTB12
processed_pseudogene	RPL7AP7
unprocessed_pseudogene	MICC
protein_coding	OR2H1
unprocessed_pseudogene	
protein_coding	EGFL8
protein_coding	PRRT1
protein_coding	PPT2
unprocessed_pseudogene	HLA-DPA2
protein_coding	PPP1R11
transcribed_unprocessed_pseudogene	MICE
protein_coding	MAS1L
lncRNA	ZNRD1ASP
protein_coding	HLA-E
unprocessed_pseudogene	OR2H4P
unprocessed_pseudogene	
protein_coding	CFB
protein_coding	MSH5-SAPCD1
protein_coding	NFKBIL1
protein_coding	HLA-DOA
protein_coding	OBP2B
lncRNA	HCG25
protein_coding	HSPA1B
lncRNA	C4B-AS1
protein_coding	TRIM15
protein_coding	AGER
protein_coding	HLA-DRB3
unprocessed_pseudogene	LCN1P1
protein_coding	ABO
lncRNA	PSMB8-AS1
protein_coding	DDR1
lncRNA	HCG20
unprocessed_pseudogene	
unprocessed_pseudogene	OR2G1P
processed_pseudogene	RPL32P1
misc_RNA	Y_RNA
protein_coding	PRR3
unprocessed_pseudogene	LCN1P2
protein_coding	SURF6
protein_coding	ATAT1
protein_coding	SLC39A7
protein_coding	MOG
protein_coding	HLA-DQB1
misc_RNA	Y_RNA
protein_coding	MED22
unprocessed_pseudogene	MTCO3P1
unprocessed_pseudogene	HCG4B
transcribed_processed_pseudogene	RPL23AP1
unprocessed_pseudogene	HLA-S
protein_coding	HLA-DOB
protein_coding	ZBTB22
protein_coding	MOG
processed_pseudogene	
protein_coding	C2
lncRNA	LINC01015
processed_pseudogene	
protein_coding	HLA-DPA1
processed_pseudogene	SNX18P26
processed_pseudogene	GXYLT1P1
protein_coding	RPL7A
processed_pseudogene	CNN2P12
lncRNA	LINC00349
processed_pseudogene	LINC00328-2P
transcribed_unprocessed_pseudogene	
transcribed_unprocessed_pseudogene	
unprocessed_pseudogene	ANKRD20A9P
processed_pseudogene	SNX19P2
processed_pseudogene	ANKRD26P4
processed_pseudogene	TERF1P5
unprocessed_pseudogene	
protein_coding	C1QTNF9
processed_pseudogene	IFITM4P
protein_coding	C6orf15
protein_coding	LINC01556
lncRNA	
protein_coding	PARP4
protein_coding	GABBR1
snoRNA	SNORD24
snoRNA	SNORD36B
snoRNA	SNORD36A
protein_coding	
snoRNA	SNORD36C
protein_coding	SURF1
lncRNA	
lncRNA	VPS11-DT
unprocessed_pseudogene	OR2AD1P
protein_coding	VPS11
protein_coding	HLA-F
unprocessed_pseudogene	DDX39BP2
lncRNA	
lncRNA	USP12-DT
protein_coding	HSD17B8
protein_coding	MIPEP
lncRNA	
protein_coding	SURF2
protein_coding	NFKBIL1
protein_coding	KAT6B
lncRNA	LINC00442
unprocessed_pseudogene	PSPC1P1
lncRNA	
processed_pseudogene	RHOT1P3
protein_coding	RNF17
protein_coding	SURF4
protein_coding	OR12D3
unprocessed_pseudogene	HLA-K
protein_coding	SFTA2
protein_coding	OR12D2
lncRNA	SLC44A4
unprocessed_pseudogene	
protein_coding	MICA
protein_coding	GTF2H4
protein_coding	CYP21A2
transcribed_unprocessed_pseudogene	HLA-L
processed_pseudogene	DDX6P1
protein_coding	FKBPL
lncRNA	
protein_coding	LY6G6D
protein_coding	HLA-DOA
protein_coding	GPSM3
protein_coding	HLA-DQA2
processed_pseudogene	ETF1P1
protein_coding	AGER
processed_pseudogene	CYCSP33
transcribed_unprocessed_pseudogene	TPTE2P6
protein_coding	BRD2
lncRNA	
processed_pseudogene	LSP1P1
processed_pseudogene	FAM8A5P
unprocessed_pseudogene	HLA-DPA2
TEC	
lncRNA	
unprocessed_pseudogene	ZNF962P
processed_pseudogene	FAM207BP
protein_coding	POMP
protein_coding	TRIM26
processed_pseudogene	DDX6P1
lncRNA	
protein_coding	MSH5-SAPCD1
lncRNA	LINC00297
protein_coding	KATNAL1
protein_coding	STKLD1
lncRNA	
protein_coding	VARS2
lncRNA	
processed_pseudogene	RPL26P34
lncRNA	LINC00365
unprocessed_pseudogene	
processed_pseudogene	RPL17P51
protein_coding	C13orf46
processed_pseudogene	HSPD1P9
unprocessed_pseudogene	GGT4P
protein_coding	REXO4
lncRNA	C1QTNF9-AS1
protein_coding	RASA3
protein_coding	UBE2L5
protein_coding	MOG
lncRNA	
protein_coding	CCNA1
lncRNA	C4A-AS1
protein_coding	UBD
lncRNA	HCG18
lncRNA	RASA3-IT1
lncRNA	PAN3-AS1
lncRNA	
protein_coding	USPL1
protein_coding	ADAMTS13
protein_coding	ZBTB22
lncRNA	LINC00384
protein_coding	URAD
protein_coding	HLA-DPA1
processed_pseudogene	MTCO3P2
protein_coding	HMGB1
unprocessed_pseudogene	
unprocessed_pseudogene	MICD
protein_coding	VARS2
protein_coding	HLA-DRB3
protein_coding	HLA-DPB1
lncRNA	
protein_coding	RGL2
lncRNA	STARD13-AS
unprocessed_pseudogene	HCG4B
protein_coding	CYP21A2
protein_coding	SOHLH2
processed_pseudogene	FEM1AP4
lncRNA	
processed_pseudogene	CYP51A1P2
lncRNA	LINC00572
lncRNA	TEX26-AS1
protein_coding	TUBB
unprocessed_pseudogene	USP24P1
protein_coding	GPALPP1
unprocessed_pseudogene	HLA-W
lncRNA	HCG14
protein_coding	ZBTB12
lncRNA	
protein_coding	DHX16
protein_coding	HLA-DPB1
unprocessed_pseudogene	HLA-N
lncRNA	DDR1-DT
processed_pseudogene	SUCLA2P1
protein_coding	FLOT1
lncRNA	HCG15
unprocessed_pseudogene	
protein_coding	MPIG6B
protein_coding	
unprocessed_pseudogene	
lncRNA	LINC00330
protein_coding	HSPH1
protein_coding	LEUTX
lncRNA	
protein_coding	DYRK1B
lncRNA	HLA-DQB1-AS1
unprocessed_pseudogene	UBDP1
processed_pseudogene	ZNF70P1
protein_coding	TAP1
lncRNA	HCG9
protein_coding	GPANK1
processed_pseudogene	
transcribed_processed_pseudogene	PPP1R2P1
protein_coding	BTNL2
processed_pseudogene	MYL12BP3
processed_pseudogene	MICG
processed_pseudogene	
protein_coding	VWA7
unprocessed_pseudogene	UBDP1
lncRNA	MDC1-AS1
protein_coding	
lncRNA	TSBP1-AS1
processed_pseudogene	
unprocessed_pseudogene	MICG
protein_coding	PBX2
processed_pseudogene	RPS17P1
processed_pseudogene	SUCLA2P1
protein_coding	FLOT1
protein_coding	
unprocessed_pseudogene	HCG4B
protein_coding	GPSM3
protein_coding	ATAT1
protein_coding	SNHG32
protein_coding	LST1
processed_pseudogene	SUMO2P1
protein_coding	OR2J2
lncRNA	
processed_pseudogene	USP8P1
unprocessed_pseudogene	
unprocessed_pseudogene	HLA-DPA2
protein_coding	WDR46
miRNA	MIR6719
protein_coding	COL11A2
protein_coding	FBL
protein_coding	CACFD1
protein_coding	LTB
protein_coding	VARS2
protein_coding	SLC2A6
protein_coding	FCGBP
protein_coding	STK19
processed_pseudogene	PRR13P5
transcribed_unprocessed_pseudogene	HLA-V
processed_pseudogene	RPS20P32
processed_pseudogene	FABP3P2
protein_coding	PSMC4
protein_coding	NCR3
lncRNA	LINC02340
lncRNA	MTUS2-AS1
protein_coding	NUFIP1
processed_pseudogene	ETF1P1
protein_coding	KPNA3
protein_coding	PPT2
unprocessed_pseudogene	
protein_coding	MICB
protein_coding	ZNF546
unprocessed_pseudogene	COL11A2P1
protein_coding	HLA-A
protein_coding	NOTCH4
unprocessed_pseudogene	
unprocessed_pseudogene	
processed_pseudogene	SMARCE1P5
lncRNA	LINC01066
protein_coding	CRYL1
protein_coding	TRIM40
protein_coding	OR2H1
lncRNA	LINC00398
protein_coding	HLA-DMA
unprocessed_pseudogene	SMPD4P2
lncRNA	LINC00562
lncRNA	
protein_coding	C6orf47
processed_pseudogene	RPS21P8
processed_pseudogene	
lncRNA	
protein_coding	SKIV2L
processed_pseudogene	RBM22P2
processed_pseudogene	ATP5F1EP2
protein_coding	ZNF780B
lncRNA	C4B-AS1
protein_coding	CDX2
protein_coding	HLA-B
protein_coding	PAN3
unprocessed_pseudogene	OR2AD1P
protein_coding	SNHG32
unprocessed_pseudogene	
protein_coding	ZBTB9
lncRNA	LINC02569
lncRNA	
protein_coding	LTB
protein_coding	ZNF780A
lncRNA	
lncRNA	
protein_coding	DUSP29
lncRNA	LINC00332
lncRNA	
unprocessed_pseudogene	OR2H4P
lncRNA	HLA-F-AS1
lncRNA	
protein_coding	CAB39L
protein_coding	LY6G6D
unprocessed_pseudogene	MCCD1P1
unprocessed_pseudogene	
unprocessed_pseudogene	HLA-DRB9
protein_coding	PBX2
protein_coding	OR2J1
protein_coding	MUCL3
protein_coding	BCL2L14
protein_coding	PRRC2A
lncRNA	
protein_coding	TUBB
unprocessed_pseudogene	MCCD1P2
processed_pseudogene	IFITM4P
protein_coding	PPT2
protein_coding	TRIM10
protein_coding	TNXB
lncRNA	
processed_pseudogene	CYCSP34
TEC	
lncRNA	
processed_pseudogene	RGS17P1
processed_pseudogene	CHCHD2P11
lncRNA	LINC02334
protein_coding	PSMB8
lncRNA	DDX39B-AS1
processed_pseudogene	TIMM9P3
protein_coding	OR2H2
lncRNA	
unprocessed_pseudogene	
transcribed_unprocessed_pseudogene	CYP21A1P
lncRNA	LINC00457
unprocessed_pseudogene	HLA-T
processed_pseudogene	RAD17P2
lncRNA	PSORS1C3
lncRNA	SMIM2-IT1
processed_pseudogene	PRDX2P1
protein_coding	C6orf15
protein_coding	SLC25A15
protein_coding	LTA
processed_pseudogene	PTMAP9
miRNA	MIR1244-4
protein_coding	LRP6
lncRNA	LINC00385
processed_pseudogene	ANKRD20A10P
lncRNA	LINC00387
protein_coding	DNAJC15
protein_coding	RNF39
protein_coding	LY6G5C
protein_coding	GTF2H4
lncRNA	LINC00412
lncRNA	STARD13-IT1
protein_coding	GPR12
lncRNA	LINC02829
lncRNA	HLA-DQB1-AS1
transcribed_unprocessed_pseudogene	HLA-DPB2
lncRNA	
protein_coding	SLC44A4
lncRNA	LINC01076
lncRNA	MTUS2-AS2
protein_coding	MCCD1
protein_coding	GTF2F2
unprocessed_pseudogene	UBDP1
protein_coding	PPP1R10
processed_pseudogene	CTBP2P1
processed_pseudogene	
protein_coding	UBD
lncRNA	LINC02343
transcribed_unprocessed_pseudogene	
processed_pseudogene	POM121L13P
TEC	
unprocessed_pseudogene	ZNF646P1
lncRNA	
protein_coding	NELFE
processed_pseudogene	RPP40P2
lncRNA	LINC00458
processed_pseudogene	PPIAP26
processed_pseudogene	GAMTP2
protein_coding	WASF3
unprocessed_pseudogene	HCG9P5
protein_coding	EGFL8
processed_pseudogene	ZDHHC20P1
unprocessed_pseudogene	HLA-DPB2
protein_coding	OR10C1
unprocessed_pseudogene	TNXA
lncRNA	
protein_coding	C4A
processed_pseudogene	ZNF70P1
processed_pseudogene	
protein_coding	VPS52
lncRNA	LINC00366
snRNA	RNU6-545P
processed_pseudogene	
snRNA	RNU6-318P
lncRNA	
protein_coding	MANSC1
processed_pseudogene	RPS3AP44
lncRNA	LINC00407
unprocessed_pseudogene	ANKRD26P3
protein_coding	TRIM26
processed_pseudogene	RPL23AP66
lncRNA	LOH12CR2
lncRNA	
protein_coding	BORCS5
protein_coding	LTA
processed_pseudogene	
protein_coding	DUSP16
IG_V_gene	IGKV5-2
protein_coding	RGL2
IG_V_pseudogene	IGKV7-3
processed_pseudogene	PGBD4P5
IG_V_pseudogene	IGKV2-4
IG_V_gene	IGKV1-5
IG_V_gene	IGKV1-6
protein_coding	TRIM10
protein_coding	POSTN
IG_V_gene	IGKV3-7
IG_V_gene	IGKV1-8
lncRNA	
processed_pseudogene	
protein_coding	OR2W1
IG_V_gene	IGKV1-9
unprocessed_pseudogene	HLA-T
protein_coding	LTB
IG_V_pseudogene	IGKV2-10
IG_V_gene	IGKV3-11
IG_V_gene	IGKV1-12
IG_V_pseudogene	IGKV1-13
IG_V_pseudogene	IGKV2-14
IG_V_gene	IGKV3-15
protein_coding	BCL7A
IG_V_gene	IGKV1-16
IG_V_gene	IGKV1-17
IG_V_pseudogene	IGKV2-18
IG_V_pseudogene	IGKV2-19
IG_V_gene	IGKV3-20
IG_V_gene	IGKV6-21
protein_coding	SKIV2L
processed_pseudogene	ETF1P1
IG_V_pseudogene	IGKV1-22
IG_V_pseudogene	IGKV2-23
protein_coding	PFDN6
IG_V_gene	IGKV2-24
IG_V_pseudogene	IGKV3-25
IG_V_pseudogene	IGKV2-26
unprocessed_pseudogene	
IG_V_gene	IGKV1-27
lncRNA	
IG_V_gene	IGKV2-28
IG_V_pseudogene	IGKV2-29
IG_V_gene	IGKV2-30
IG_V_pseudogene	IGKV3-31
IG_V_pseudogene	IGKV1-32
IG_V_gene	IGKV1-33
protein_coding	MLXIP
IG_V_pseudogene	IGKV3-34
IG_V_pseudogene	IGKV1-35
IG_V_pseudogene	IGKV2-36
IG_V_gene	IGKV1-37
IG_V_pseudogene	IGKV2-38
IG_V_gene	IGKV1-39
IG_V_gene	IGKV2-40
protein_coding	TAPBP
protein_coding	MPIG6B
protein_coding	PRRC2A
protein_coding	ATP6V1G2
protein_coding	MRPS18B
processed_pseudogene	HTATSF1P1
processed_pseudogene	LYPLA2P1
lncRNA	HCG14
lncRNA	HCP5
lncRNA	
transcribed_processed_pseudogene	PPP1R2P1
unprocessed_pseudogene	
protein_coding	FLOT1
protein_coding	NELFE
lncRNA	
processed_pseudogene	ZDHHC20P2
transcribed_processed_pseudogene	RPL23AP1
unprocessed_pseudogene	HLA-DQB3
protein_coding	RING1
processed_pseudogene	HNRNPA1P2
processed_pseudogene	
protein_coding	TRIM31
unprocessed_pseudogene	
lncRNA	FAM230C
lncRNA	
processed_pseudogene	
unprocessed_pseudogene	HCG9P5
unprocessed_pseudogene	OR2AD1P
processed_pseudogene	USP8P1
protein_coding	
protein_coding	HSPA1A
processed_pseudogene	
unprocessed_pseudogene	GGT4P
unprocessed_pseudogene	
protein_coding	CCHCR1
protein_coding	STK19
processed_pseudogene	KMT5AP1
unprocessed_pseudogene	
protein_coding	OR5V1
unprocessed_pseudogene	HLA-DQB3
protein_coding	HLA-DOA
protein_coding	PPP1R18
processed_pseudogene	USP8P1
protein_coding	HLA-B
protein_coding	TAPBP
protein_coding	NDUFA6
lncRNA	
lncRNA	C6orf47-AS1
unprocessed_pseudogene	UBDP1
lncRNA	
processed_pseudogene	OLA1P1
protein_coding	ABHD16A
lncRNA	
lncRNA	
protein_coding	
unprocessed_pseudogene	CYP2D8P
protein_coding	TCF20
unprocessed_pseudogene	OR2AD1P
protein_coding	CDSN
lncRNA	
protein_coding	LY6G6D
protein_coding	OR2H2
unprocessed_pseudogene	MAS1LP1
protein_coding	C6orf15
transcribed_processed_pseudogene	RPL23AP1
unprocessed_pseudogene	OR12D1
protein_coding	MCCD1
protein_coding	LY6G6E
processed_pseudogene	PTMAP1
protein_coding	SAPCD1
protein_coding	OR10C1
protein_coding	PRRC2A
processed_pseudogene	RPL32P1
protein_coding	GPANK1
transcribed_unprocessed_pseudogene	MICE
lncRNA	NALCN-AS1
unprocessed_pseudogene	TRIM26BP
lncRNA	LINC00411
protein_coding	ABCF1
processed_pseudogene	
protein_coding	SERP2
lncRNA	LINC00558
processed_pseudogene	RPL7AP7
protein_coding	APOM
processed_pseudogene	GNG5P5
unprocessed_pseudogene	
lncRNA	HCG25
protein_coding	FNDC3A
protein_coding	CYP21A2
protein_coding	ATAT1
protein_coding	RGL2
lncRNA	LINC01784
protein_coding	PRAMEF11
processed_pseudogene	DHFRP2
lncRNA	C4B-AS1
processed_pseudogene	IFITM4P
transcribed_unprocessed_pseudogene	HLA-DPB2
processed_pseudogene	RPL15P4
lncRNA	HCG17
protein_coding	TBCE
protein_coding	CFB
unprocessed_pseudogene	
protein_coding	CYP2D6
protein_coding	HLA-DQB2
unprocessed_pseudogene	PRAMEF30P
protein_coding	HNRNPCL1
protein_coding	PRAMEF2
protein_coding	OR2B3
unprocessed_pseudogene	HLA-U
protein_coding	HLA-G
protein_coding	PRAMEF4
protein_coding	TNXB
protein_coding	PRAMEF10
processed_pseudogene	
lncRNA	
protein_coding	PRAMEF7
transcribed_processed_pseudogene	RPS21P1
protein_coding	B3GALNT2
lncRNA	
lncRNA	
processed_pseudogene	FHP1
unprocessed_pseudogene	
protein_coding	CCDC169-SOHLH2
snRNA	RNU6-1072P
unprocessed_pseudogene	PRAMEF29P
protein_coding	PRAMEF6
processed_pseudogene	
unprocessed_pseudogene	HCG9P5
protein_coding	C4B
unprocessed_pseudogene	PRAMEF28P
protein_coding	PRAMEF27
TEC	
lncRNA	
lncRNA	FREM2-AS1
protein_coding	HNRNPCL3
processed_pseudogene	TOMM22P3
processed_pseudogene	EEF1A1P3
transcribed_unprocessed_pseudogene	SUGT1P3
protein_coding	PRAMEF25
processed_pseudogene	MTCYBP14
processed_pseudogene	MTND6P14
protein_coding	LHFPL6
processed_pseudogene	MTND5P19
processed_pseudogene	MTND4P10
processed_pseudogene	MTND4LP21
processed_pseudogene	MTND3P8
processed_pseudogene	MTCO3P46
protein_coding	GNG4
unitary_pseudogene	WDR95P
unprocessed_pseudogene	PRAMEF34P
processed_pseudogene	POLR3KP1
lncRNA	LINC00459
unprocessed_pseudogene	PRAMEF35P
lncRNA	
lncRNA	
protein_coding	HNRNPCL2
processed_pseudogene	SLC25A5P4
processed_pseudogene	
lncRNA	LINC00378
lncRNA	HCG20
lncRNA	
processed_pseudogene	
lncRNA	
unprocessed_pseudogene	CYP2D8P
transcribed_unprocessed_pseudogene	PRAMEF36P
lncRNA	HCG18
lncRNA	
processed_pseudogene	
lncRNA	SPATA13-AS1
protein_coding	PRAMEF26
protein_coding	TCF20
lncRNA	USP12-AS1
lncRNA	
protein_coding	
protein_coding	DXO
processed_pseudogene	PRDX3P3
unprocessed_pseudogene	PRR20FP
protein_coding	HLA-E
processed_pseudogene	RPSAP53
lncRNA	
processed_pseudogene	DNAJA1P1
protein_coding	HNRNPCL4
lncRNA	LINC01065
protein_coding	PRAMEF9
lncRNA	DIAPH3-AS1
processed_pseudogene	ELL2P3
processed_pseudogene	HNRNPA3P5
processed_pseudogene	BCRP9
protein_coding	PRAMEF13
lncRNA	
protein_coding	AKAP11
protein_coding	PRAMEF18
unprocessed_pseudogene	PRAMEF31P
protein_coding	PRAMEF5
protein_coding	SYNGAP1
protein_coding	SMIM2
lncRNA	
unprocessed_pseudogene	HLA-DRB9
protein_coding	TRIM10
unprocessed_pseudogene	PRAMEF32P
protein_coding	MZT1
snRNA	RNU6-771P
protein_coding	PRAMEF8
protein_coding	RPS18
lncRNA	
lncRNA	LINC01053
lncRNA	LINC00448
processed_pseudogene	
unprocessed_pseudogene	
processed_pseudogene	H3P36
lncRNA	LINC00374
protein_coding	PCDH20
protein_coding	PRAMEF33
protein_coding	DDR1
protein_coding	PROSER1
lncRNA	PSMB8-AS1
unprocessed_pseudogene	OR2U2P
unprocessed_pseudogene	HCG4P8
protein_coding	MAS1L
protein_coding	MICB
protein_coding	HLA-F
lncRNA	DAXX
lncRNA	
lncRNA	
transcribed_unprocessed_pseudogene	HCG22
lncRNA	
processed_pseudogene	UQCRHP1
protein_coding	MRPS18B
unprocessed_pseudogene	OR2H5P
unprocessed_pseudogene	MICG
processed_pseudogene	ETF1P1
protein_coding	HLA-E
unprocessed_pseudogene	
processed_pseudogene	HTATSF1P1
protein_coding	MICA
unprocessed_pseudogene	GPR53P
protein_coding	OR11A1
processed_pseudogene	RPL37P21
lncRNA	
processed_pseudogene	HNRNPA1P2
unprocessed_pseudogene	MCCD1P2
processed_pseudogene	COX7CP1
protein_coding	ERICH6B
protein_coding	ATP6V1G2
unprocessed_pseudogene	DDX39BP1
lncRNA	LINC00547
protein_coding	CLIC1
processed_pseudogene	RPL13AP25
protein_coding	KL
protein_coding	GPANK1
protein_coding	HLA-C
lncRNA	LINC00395
protein_coding	TAP1
lncRNA	
processed_pseudogene	MARK2P12
TEC	
unprocessed_pseudogene	IRX1P1
protein_coding	DDR1
transcribed_unprocessed_pseudogene	TPTE2P5
protein_coding	PCDH8
processed_pseudogene	
processed_pseudogene	RPL35AP31
protein_coding	PIBF1
processed_pseudogene	RPL32P1
lncRNA	PSMB8-AS1
protein_coding	CYP21A2
unprocessed_pseudogene	OR2AD1P
protein_coding	OR2W1
protein_coding	ATP6V1G2
unprocessed_pseudogene	MTCO3P1
protein_coding	HLA-DQA2
processed_pseudogene	FABP5P1
lncRNA	
protein_coding	BORA
protein_coding	VPS52
protein_coding	GPANK1
protein_coding	MAGI1
processed_pseudogene	LGMNP1
transcribed_unprocessed_pseudogene	OR7E156P
lncRNA	LINC00393
unprocessed_pseudogene	
protein_coding	RPS18
lncRNA	LINC02542
unprocessed_pseudogene	TRIM26BP
protein_coding	KLHL1
protein_coding	POU5F1
protein_coding	IBTK
protein_coding	GTF3A
lncRNA	
processed_pseudogene	SYNGR2P1
transcribed_unprocessed_pseudogene	
unprocessed_pseudogene	MICD
processed_pseudogene	SAR1AP1
protein_coding	
unprocessed_pseudogene	
protein_coding	B3GALT4
misc_RNA	RN7SL673P
unprocessed_pseudogene	DNM1P28
protein_coding	RNF5
transcribed_unprocessed_pseudogene	ULK4P3
protein_coding	HLA-DMB
snoRNA	U8
protein_coding	GOLGA8T
misc_RNA	RN7SL469P
unprocessed_pseudogene	DNM1P30
unprocessed_pseudogene	
processed_pseudogene	
snRNA	RNU6-17P
TEC	
misc_RNA	Y_RNA
protein_coding	
protein_coding	WDR46
processed_pseudogene	MFAP1P1
lncRNA	
protein_coding	ARHGAP11B
lncRNA	LINC00437
lncRNA	ARHGAP11B-DT
protein_coding	CNMD
lncRNA	
misc_RNA	RN7SL628P
lncRNA	
transcribed_unprocessed_pseudogene	ULK4P2
processed_pseudogene	RPL3P2
protein_coding	MCCD1
unprocessed_pseudogene	MAS1LP1
protein_coding	PBX2
snoRNA	U8
unprocessed_pseudogene	DNM1P50
protein_coding	GOLGA8Q
lncRNA	LINC02570
protein_coding	RNF5
unprocessed_pseudogene	
protein_coding	PPP1R11
protein_coding	B3GLCT
lncRNA	OR5V1
protein_coding	TAP2
misc_RNA	RN7SL796P
lncRNA	
unprocessed_pseudogene	MPHOSPH10P2
unprocessed_pseudogene	
processed_pseudogene	RPL32P28
lncRNA	LINC01442
protein_coding	
protein_coding	PSORS1C2
processed_pseudogene	NAP1L4P3
TEC	
unprocessed_pseudogene	OR2J1
misc_RNA	RN7SL286P
processed_pseudogene	HNF4GP1
processed_pseudogene	UBQLN1P1
lncRNA	
protein_coding	
protein_coding	
protein_coding	NFKBIL1
protein_coding	VPS52
lncRNA	
processed_pseudogene	RPL12P34
protein_coding	MSH5
lncRNA	PCDH9-AS4
lncRNA	
protein_coding	SCG5
protein_coding	HLA-DMB
unprocessed_pseudogene	
lncRNA	
transcribed_unprocessed_pseudogene	TPTE2P2
processed_pseudogene	HMGN2P39
lncRNA	LINC00364
processed_pseudogene	PLA2G12AP2
lncRNA	
processed_pseudogene	ZDHHC20P4
lncRNA	LINC00550
lncRNA	NDFIP2-AS1
lncRNA	PCDH9-AS2
protein_coding	ELF1
processed_pseudogene	PAIP1P1
protein_coding	DDX39B
protein_coding	NRM
processed_pseudogene	RPL12P1
unprocessed_pseudogene	HLA-S
protein_coding	C4A
protein_coding	POU5F1
lncRNA	SCG5-AS1
lncRNA	GREM1-AS1
protein_coding	GREM1
protein_coding	SCEL
transcribed_processed_pseudogene	
protein_coding	TAPBP
protein_coding	TRIM27
lncRNA	LINC02570
lncRNA	C4B-AS1
protein_coding	LSM2
protein_coding	SLC25A26
protein_coding	GPSM3
protein_coding	OR14J1
protein_coding	HLA-DQB2
protein_coding	CSNK2B
protein_coding	SKIV2L
snRNA	RNU6-130P
processed_pseudogene	
lncRNA	
protein_coding	TPBG
processed_pseudogene	COX4I1P2
lncRNA	
lncRNA	
lncRNA	
