Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
SAMD11	2	0	1	3	3	0
NOC2L	1467	1490	1278	1365	1548	2141
KLHL17	174	147	134	180	201	259
PLEKHN1	17	28	19	38	41	56
PERM1	0	0	1	2	2	1
AL645608.7	11	6	9	8	6	14
HES4	47	48	36	64	75	97
ISG15	1210	1902	1381	560	904	1255
AL645608.3	0	0	0	0	0	0
AL645608.1	0	0	0	3	3	2
AGRN	10592	10382	9076	10801	12907	17957
AL645608.5	0	0	0	0	0	0
AL390719.1	138	163	132	69	119	143
AL645608.8	2	4	5	2	3	5
RNF223	100	68	84	12	17	17
C1orf159	203	204	187	185	219	325
AL390719.3	11	19	14	10	10	12
LINC01342	4	4	5	40	28	55
MIR200B	4	4	0	3	5	11
MIR200A	4	3	1	6	5	8
MIR429	14	7	11	18	16	43
AL390719.2	150	155	140	299	358	468
TTLL10-AS1	4	2	1	3	5	5
TTLL10	9	7	9	35	20	36
TNFRSF18	1	1	1	2	4	8
TNFRSF4	2	1	2	0	0	1
SDF4	2581	2639	2275	1533	1892	2412
B3GALT6	53	55	49	367	407	564
C1QTNF12	12	16	16	10	25	20
AL162741.1	0	2	4	2	1	6
UBE2J2	498	516	439	480	548	812
LINC01786	1	0	0	2	1	5
SCNN1D	1	5	0	10	13	14
ACAP3	603	583	502	476	625	841
MIR6726	0	0	0	0	0	0
PUSL1	235	236	236	182	214	276
INTS11	1543	1524	1338	1153	1433	2001
MIR6727	0	0	0	0	0	0
AL139287.1	33	37	45	51	50	86
CPTP	118	118	111	178	225	354
TAS1R3	3	5	2	10	9	12
DVL1	796	752	694	1180	1388	1912
MIR6808	0	0	0	0	0	0
MXRA8	3	3	9	58	78	82
AURKAIP1	959	963	842	682	792	1136
NDUFB4P8	0	1	0	1	1	1
CCNL2	2724	2828	2355	3106	3658	5080
MRPL20-AS1	149	140	122	349	334	512
MRPL20	455	483	450	744	858	1339
RN7SL657P	0	0	0	0	0	0
AL391244.2	31	39	26	88	79	146
ANKRD65	4	1	8	11	13	17
AL391244.1	0	0	1	0	0	0
TMEM88B	0	0	3	7	5	5
LINC01770	1	2	1	24	23	30
VWA1	316	277	248	1037	1312	1577
ATAD3C	21	26	27	39	54	80
ATAD3B	527	483	465	360	449	668
AL645728.2	0	0	0	0	2	1
ATAD3A	348	283	264	455	521	806
TMEM240	3	7	4	6	9	15
SSU72	1281	1379	1176	1583	1815	2644
AL645728.1	1	1	0	4	2	6
AL691432.3	0	0	0	0	0	0
FNDC10	0	0	0	0	0	0
AL691432.4	0	0	0	0	0	0
AL691432.2	36	51	50	41	55	76
MIB2	251	288	246	274	274	440
MMP23B	0	0	0	0	1	0
CDK11B	889	987	797	473	562	745
FO704657.1	0	0	0	0	0	0
SLC35E2B	851	837	674	1075	1227	1884
AL691432.1	30	45	24	14	28	37
MMP23A	1	0	0	0	0	0
CDK11A	113	91	92	29	31	41
AL031282.2	41	52	26	67	55	81
AL031282.1	4	5	2	30	17	29
SLC35E2A	146	137	129	301	289	488
NADK	1165	1077	943	874	970	1441
GNB1	6863	7299	6254	5948	7063	10205
AL109917.1	1	0	0	0	0	4
CALML6	1	0	0	2	6	5
TMEM52	3	6	3	3	11	11
CFAP74	0	0	0	2	2	3
AL391845.2	0	0	0	0	0	0
GABRD	0	0	1	0	0	0
AL391845.1	0	0	0	0	1	0
PRKCZ	319	311	312	353	365	565
AL590822.2	8	6	8	2	2	2
PRKCZ-AS1	55	51	36	28	37	63
FAAP20	254	259	222	533	676	878
AL590822.1	0	0	0	3	2	1
SKI	746	812	657	925	1315	1825
AL590822.3	1	0	1	14	17	25
MORN1	19	33	31	155	207	282
AL589739.1	0	0	0	0	0	2
AL513477.1	8	12	10	109	127	190
AL513477.2	1	3	0	4	12	12
RER1	1247	1326	1130	1415	1702	2506
PEX10	78	59	67	280	308	448
PLCH2	36	40	37	59	50	102
AL139246.1	0	0	1	0	0	3
AL139246.4	0	0	2	3	2	0
PANK4	586	600	512	227	257	445
HES5	0	1	0	1	0	2
AL139246.5	0	2	3	7	19	11
TNFRSF14-AS1	20	21	31	80	114	114
TNFRSF14	623	660	537	670	830	1113
AL139246.2	0	0	1	0	2	0
AL139246.3	1	1	2	2	2	8
PRXL2B	400	346	372	871	1076	1287
MMEL1	19	18	25	57	59	85
MMEL1-AS1	0	0	0	0	3	2
TTC34	3	2	3	59	46	77
AC242022.2	0	0	0	1	0	0
AC242022.1	0	0	0	0	0	0
AL592464.2	0	0	0	0	0	0
AL592464.3	0	0	0	1	1	2
AL592464.1	0	0	1	1	0	1
AL589702.1	1	2	0	5	1	8
ACTRT2	0	0	0	0	0	0
PRDM16-DT	0	0	0	0	0	0
PRDM16	3	2	2	0	1	1
MIR4251	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0
AL590438.1	0	0	0	1	0	1
AL354743.2	5	4	5	9	13	20
AL354743.1	1	0	0	0	0	0
ARHGEF16	1616	1511	1308	1177	1341	1919
AL512413.1	8	10	7	18	16	27
MEGF6	55	61	47	181	231	354
MIR551A	0	0	0	0	0	0
AL513320.1	0	3	3	6	6	8
TPRG1L	1606	1796	1494	1393	1581	2164
WRAP73	424	454	394	490	539	774
TP73	33	30	30	88	96	135
AL136528.1	1	0	0	3	5	4
AL136528.2	0	0	1	1	0	1
TP73-AS1	0	0	0	0	0	0
AL136528.3	0	0	0	0	0	0
CCDC27	0	0	0	2	0	0
SMIM1	1	2	2	2	7	10
LRRC47	716	810	675	539	652	957
RN7SL574P	4	6	2	2	2	2
AL365330.1	21	30	15	5	12	16
CEP104	571	613	519	621	729	975
DFFB	97	103	81	130	137	168
C1orf174	246	278	250	302	328	528
LINC01134	3	7	3	29	49	41
LINC01346	1	0	0	0	0	0
LINC01345	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0
AL805961.1	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
Z98886.1	1	0	0	0	0	0
BX005132.1	0	0	0	0	0	0
LINC02781	1	0	0	0	0	0
LINC02782	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0
Z98259.3	0	0	0	0	0	0
Z98259.2	0	0	0	0	2	0
Z98259.1	0	0	0	0	0	0
Z97988.2	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0
MIR4689	0	1	0	1	0	0
NPHP4	694	700	578	253	333	447
KCNAB2	152	166	146	89	104	132
CHD5	4	0	3	5	1	9
AL031847.2	0	0	0	0	0	0
RPL22	2574	2883	2333	2225	2616	4092
AL031847.1	1	1	2	3	3	8
RNF207	29	30	29	119	135	218
ICMT	554	579	528	1573	1778	2569
LINC00337	0	0	0	4	6	6
HES3	0	0	0	0	0	0
GPR153	32	42	29	59	73	116
ACOT7	244	238	199	230	318	455
AL031848.2	0	0	0	0	0	0
HES2	2	1	1	3	3	1
ESPN	5	1	1	30	53	74
MIR4252	0	0	0	0	0	0
AL031848.1	0	0	1	0	0	0
TNFRSF25	110	84	89	122	125	189
PLEKHG5	281	254	227	283	304	442
NOL9	321	344	307	310	405	496
RNU6-731P	0	0	0	0	0	0
AL591866.1	3	2	0	3	5	9
TAS1R1	1	1	1	2	0	1
ZBTB48	455	486	360	258	326	485
KLHL21	4786	4897	4025	367	449	690
PHF13	576	621	528	340	406	605
THAP3	416	393	310	166	156	280
DNAJC11	771	840	676	617	738	1049
LINC01672	0	0	0	0	0	0
AL591163.1	0	0	0	0	0	0
CAMTA1-DT	0	3	1	4	5	6
CAMTA1	573	584	454	450	545	811
AL590128.1	2	0	0	0	0	1
AL512330.1	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
CAMTA1-IT1	1	0	0	1	2	1
CAMTA1-AS2	0	0	0	0	0	0
CAMTA1-AS1	0	0	0	0	0	0
AL359881.3	0	0	0	2	5	2
AL359881.2	0	1	1	2	5	8
AL359881.1	1	0	0	13	22	14
VAMP3	1923	2186	1732	1639	1976	2639
Z98884.2	8	11	10	5	7	6
PER3	53	78	71	207	268	384
Z98884.1	1	1	3	1	2	1
UTS2	0	0	0	0	0	0
TNFRSF9	1	1	1	3	1	2
AL009183.1	0	0	0	0	0	0
PARK7	1592	1744	1433	1736	2077	3480
AL034417.1	0	0	0	4	0	1
AL034417.5	29	25	22	8	13	14
AL034417.4	0	3	3	1	0	0
ERRFI1	9582	9891	8628	5945	9039	14990
AL034417.3	1	2	3	13	8	21
AL034417.2	1	0	2	1	2	5
AL358876.1	0	1	1	0	0	0
LINC01714	2	1	1	8	12	20
RNU1-7P	0	0	0	0	0	1
AL358876.2	0	0	0	0	0	2
RNU6-991P	0	0	0	0	0	0
SLC45A1	1	2	1	2	1	4
AL356072.1	0	0	2	0	0	0
RERE	1970	1901	1566	1806	2037	2521
RERE-AS1	0	0	2	1	3	1
AL096855.1	0	0	0	0	0	0
AL096855.2	0	0	0	0	0	0
RPL7P11	1	1	1	0	0	0
RPL7P7	0	0	0	0	0	0
AL357552.1	0	0	0	0	1	0
AL357552.2	0	0	0	0	0	0
AL357552.3	0	0	0	0	0	0
RPL23AP19	0	0	0	0	1	0
ENO1	85521	89520	78132	17500	20977	31513
MIR6728	9	6	2	0	0	1
ENO1-AS1	1	3	0	2	4	3
RNU6-304P	0	0	0	0	0	0
HMGN2P17	1	1	2	4	5	2
AL139415.1	0	0	1	0	0	0
AL139415.2	1	0	0	0	0	1
CA6	0	2	0	1	0	1
RN7SL451P	0	0	0	0	0	0
SLC2A7	0	0	0	1	0	0
SLC2A5	0	1	0	1	0	0
AL158048.1	0	0	0	0	0	0
GPR157	56	77	60	85	80	125
MIR34AHG	143	163	115	71	107	151
MIR34A	0	0	0	0	0	0
LNCTAM34A	0	1	0	7	8	13
H6PD	327	390	311	998	1083	1570
SPSB1	543	567	448	133	143	197
BX323043.1	0	0	0	0	0	0
LINC02606	0	0	0	3	5	8
RNA5SP40	0	0	0	0	0	0
AL928921.1	0	0	0	0	0	0
SLC25A33	167	209	172	151	121	218
AL954705.1	7	12	9	4	4	12
TMEM201	138	98	99	199	206	273
PIK3CD	36	52	39	7	10	8
PIK3CD-AS1	0	0	0	0	0	0
AL691449.1	0	0	0	0	0	0
PIK3CD-AS2	3	4	5	9	9	9
CLSTN1	2961	3281	2810	3430	4094	5672
MZT1P1	0	0	0	0	0	0
AL357140.3	1	0	0	0	1	2
CTNNBIP1	93	93	89	131	157	215
AL357140.1	0	0	0	0	0	0
AL357140.4	0	0	0	1	0	1
LZIC	664	840	635	872	1006	1484
AL357140.2	3	2	0	5	4	8
NMNAT1	105	128	100	151	154	240
RN7SKP269	0	3	0	0	0	1
TMEM274P	0	0	0	0	0	1
MIR5697	0	0	0	0	0	0
AL603962.1	0	0	0	0	0	0
RBP7	0	0	1	1	2	0
UBE4B	3081	3342	2768	1240	1303	1879
AL590639.1	1	0	1	1	1	1
PGAM1P11	1	0	0	2	0	3
RNU6-828P	13	5	6	0	0	0
KIF1B	8116	9045	7256	1659	1824	2651
AL358013.1	0	0	0	0	0	0
RNU6-37P	3	1	1	0	1	0
RN7SL731P	0	0	0	0	0	0
AL139424.3	12	14	5	3	2	1
AL139424.2	24	22	20	6	4	7
PGD	7514	7996	6870	2625	3170	4486
AL139424.1	0	0	0	1	0	0
CENPS-CORT	0	0	0	1	1	1
CENPS	17	21	18	30	25	57
CORT	1	0	0	2	1	3
DFFA	307	287	228	803	1031	1314
AL354956.1	0	0	0	0	0	0
PEX14	591	624	487	242	291	376
AL139423.2	33	41	29	9	6	13
RN7SL614P	3	2	3	3	1	2
CASZ1	697	716	589	410	480	663
AL139423.1	74	76	61	10	19	35
HSPE1P24	0	0	0	0	0	0
C1orf127	0	0	0	0	0	0
CFL1P6	0	0	0	0	1	0
TARDBP	1587	1903	1425	1338	1508	1957
AL109811.3	0	0	0	0	0	0
MASP2	14	19	16	59	59	74
AL109811.2	10	4	8	30	27	45
SRM	80	80	82	286	340	496
EXOSC10	1040	1113	958	1183	1481	2203
AL109811.1	5	8	2	2	2	5
EXOSC10-AS1	0	1	0	2	5	9
MTOR	1659	1750	1463	2034	2334	3346
MTOR-AS1	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	1
UBIAD1	165	210	159	419	497	760
UBE2V2P3	0	1	0	3	1	7
AL031291.1	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0
DISP3	1	0	0	6	6	12
AL590989.1	0	0	0	0	0	0
LINC01647	3	3	5	0	0	0
AL031731.1	0	0	0	0	0	0
FBXO2	5	1	2	4	1	2
FBXO44	28	45	24	33	37	45
FBXO6	0	2	1	1	3	0
MAD2L2	95	120	106	197	256	415
DRAXIN	0	0	1	1	0	0
AGTRAP	181	160	148	262	365	566
C1orf167	0	1	1	1	1	0
C1orf167-AS1	0	0	0	0	0	0
MTHFR	302	318	216	521	547	790
CLCN6	827	898	732	301	344	396
AL021155.2	0	0	0	0	0	0
AL021155.3	0	0	0	0	0	0
NPPA	2	3	2	2	2	3
AL021155.1	0	0	0	0	0	0
NPPB	0	0	0	4	0	1
SBF1P2	1	1	0	1	0	0
AL021155.4	1	1	3	4	3	6
RNU5E-1	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0
KIAA2013	1104	1078	987	790	897	1209
PLOD1	1014	951	888	538	644	836
AL096840.3	0	0	0	0	1	1
MFN2	2122	2186	1774	1743	2100	3155
AL096840.2	0	0	0	0	0	0
MIIP	261	265	251	247	301	495
AL096840.1	0	0	0	0	0	3
MIR6729	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0
TNFRSF8	1	0	1	0	0	1
RNU6-777P	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0
AL357835.1	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	0	0	3	2	1	1
MIR4632	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0
AL031276.1	0	0	0	0	0	0
VPS13D	752	810	669	1131	1278	1883
SNORA59A	1	1	3	0	4	1
LINC02766	0	0	0	0	1	0
DHRS3	1483	1479	1183	968	1232	1794
RNU6ATAC18P	1	1	2	0	4	1
MIR6730	1	0	0	0	1	0
AC254633.1	0	3	4	3	9	8
AADACL4	0	0	0	0	0	0
AC244670.1	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
C1orf158	0	0	0	0	0	1
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0
HNRNPCL1	2	0	2	0	3	2
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0
HNRNPCL2	0	0	4	1	1	2
PRAMEF36P	0	0	0	0	0	0
AC245056.1	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
AC243961.1	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0
AL354712.1	0	0	0	0	0	0
BRWD1P1	0	0	0	0	0	0
PDPN	0	0	0	0	0	0
RNA5SP41	0	0	0	0	0	0
AL359771.1	0	0	0	0	0	0
AL359771.2	0	0	0	0	0	0
PRDM2	1697	1890	1440	724	812	1116
KAZN	18	20	16	47	41	74
RNU6-1265P	0	0	0	0	0	0
AL357873.1	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
AL031293.1	0	0	0	0	1	0
TMEM51-AS1	15	17	13	21	30	27
TMEM51	279	278	243	295	298	487
C1orf195	0	0	0	0	0	3
MFFP1	0	0	0	0	0	0
ZBTB2P1	2	2	1	0	1	2
FHAD1	5	4	2	21	31	39
FHAD1-AS1	0	0	0	0	0	0
AL031283.2	0	0	0	1	0	0
AL031283.1	4	5	4	9	18	24
EFHD2	1111	1176	987	1232	1498	2034
CTRC	0	1	1	0	0	3
CELA2A	0	0	0	0	0	0
CELA2B	0	2	1	1	1	2
CASP9	152	163	152	217	246	378
DNAJC16	566	588	535	601	666	990
SCARNA21B	0	0	0	1	0	0
AL121992.3	0	0	0	0	3	2
AGMAT	42	37	40	414	482	686
AL121992.1	1	1	0	4	3	8
CHCHD2P6	4	11	7	8	4	13
RNU7-179P	0	0	0	0	0	0
CD24P1	0	0	0	0	1	0
DDI2	866	954	781	1614	1714	2655
RSC1A1	0	0	0	0	0	0
AL121992.2	0	0	0	0	0	0
PLEKHM2	698	738	616	682	813	1151
AL450998.3	13	10	11	15	7	21
SLC25A34	2	1	0	2	5	9
SLC25A34-AS1	0	0	0	0	0	0
TMEM82	0	0	0	0	1	0
FBLIM1	176	186	150	261	337	440
RPL12P14	1	1	0	4	4	6
UQCRHL	144	164	156	143	152	202
AL450998.1	10	9	7	9	5	13
AL450998.2	26	27	18	63	65	95
SPEN	2956	3179	2767	2343	2727	3830
AL034555.1	0	1	0	0	0	0
ZBTB17	501	486	406	251	304	391
AL355994.4	0	0	0	0	0	0
AL355994.1	0	0	0	0	0	0
AL355994.5	0	0	0	0	0	0
TBC1D3P6	0	0	0	0	0	0
SRARP	0	1	0	0	0	0
AL355994.3	0	0	0	0	0	0
HSPB7	1	0	0	1	0	3
CLCNKA	1	1	0	0	0	2
AL355994.2	0	1	0	1	2	2
CLCNKB	0	2	0	0	1	0
FAM131C	17	16	14	11	21	26
EPHA2	2866	2571	2362	3730	4844	7428
AL451042.2	6	2	2	10	13	14
AL451042.1	6	8	1	17	12	26
ARHGEF19-AS1	0	0	0	0	0	0
ARHGEF19	67	57	57	259	265	426
ANO7L1	1	1	1	5	4	13
AL109627.1	27	28	17	112	116	141
CPLANE2	13	12	14	55	46	95
MT1XP1	17	20	16	0	1	3
FBXO42	1815	1980	1613	486	628	1002
SZRD1	1961	1984	1564	1125	1315	1745
RPL22P3	0	2	0	4	2	5
SPATA21	0	0	0	0	0	0
NECAP2	1143	1210	931	819	997	1509
LINC01772	5	6	4	6	4	14
CROCCP3	7	6	0	26	34	30
RNU1-1	0	0	0	0	0	0
AL137802.2	0	1	0	1	3	2
AL137802.3	0	0	0	0	0	0
AL137802.1	0	0	0	0	0	0
LINC01783	0	0	0	2	4	4
RNU1-6P	0	0	0	0	0	0
AL355149.1	0	0	0	0	0	0
NBPF1	180	179	167	339	376	580
AL137798.1	0	0	0	1	0	1
CROCCP2	289	296	235	276	326	452
AL137798.3	0	0	0	0	0	0
MST1P2	2	1	3	8	8	9
AL137798.2	0	0	0	0	0	0
RNU1-3	0	0	0	0	0	0
AL021920.2	0	0	1	0	0	0
EIF1AXP1	26	18	12	16	26	41
ESPNP	6	8	4	5	4	8
AL021920.1	0	0	0	0	0	0
AL021920.3	0	0	0	0	0	0
CROCC	35	31	24	110	112	198
CROCCP4	0	0	0	0	0	0
RNU1-4	0	0	0	0	0	0
MST1L	2	1	1	0	2	3
BX284668.1	0	0	0	0	0	0
BX284668.3	0	0	0	0	0	0
MIR3675	0	0	0	0	0	0
BX284668.2	1	0	0	8	13	11
RNU1-5P	0	0	0	0	0	0
BX284668.5	11	11	2	21	19	35
BX284668.4	0	0	0	0	0	0
RNU1-2	0	0	0	0	0	0
BX284668.6	0	1	1	2	0	0
MFAP2	2	3	4	8	9	9
AL049569.2	0	0	0	0	0	0
AL049569.1	0	0	0	0	0	0
ATP13A2	728	717	577	580	666	824
SDHB	1362	1443	1300	1333	1583	2177
PADI2	32	19	26	35	44	65
LINC02783	1	0	0	12	19	8
AL590644.1	0	0	0	0	2	1
PADI1	32	32	31	66	83	116
PADI3	1	1	1	2	4	3
MIR3972	0	0	0	0	0	0
PADI4	1	0	3	0	0	0
PADI6	3	4	4	0	0	0
RCC2-AS1	0	0	0	0	0	0
RCC2	1766	1902	1534	3725	4639	7461
ARHGEF10L	1070	983	842	1009	1140	1661
LINC02810	0	0	0	0	0	0
ACTL8	4	0	1	1	3	3
AL357509.1	0	0	0	0	0	0
LINC01654	0	0	0	0	0	0
IGSF21	0	0	0	0	0	0
AL365209.1	0	0	0	0	0	0
IGSF21-AS1	0	0	0	0	0	0
AL591896.1	0	0	0	0	0	0
KLHDC7A	24	22	13	316	352	474
DYNLL1P3	0	0	0	0	0	0
AL031737.1	0	0	0	0	0	0
PAX7	0	3	1	1	1	2
TAS1R2	0	0	0	0	0	0
ALDH4A1	593	553	475	814	990	1440
MIR4695	0	0	0	0	0	0
MIR1290	1	0	0	1	0	1
IFFO2	610	643	541	1061	1328	1994
AL137127.1	22	39	24	11	11	18
UBR4	27458	30249	24379	6038	6957	10630
EMC1-AS1	0	1	1	2	5	1
EMC1	1048	1171	917	1143	1355	2105
MRTO4	392	377	352	997	1262	1785
AL035413.2	5	5	1	19	25	26
AKR7L	33	38	29	156	170	256
AKR7A3	188	194	183	630	725	1090
AL035413.1	7	15	12	27	31	26
AKR7A2	481	475	479	1084	1371	1987
RNU6-1099P	0	1	0	1	1	2
SLC66A1	423	417	365	120	119	183
CAPZB	3701	3938	3246	2368	2769	3917
RN7SL277P	0	0	0	0	0	0
MICOS10	108	108	104	166	190	312
RNU4-28P	0	0	0	1	0	0
AL031727.2	0	0	0	0	1	0
NBL1	230	255	207	223	286	440
MICOS10-NBL1	0	0	0	0	0	0
AL031727.1	134	103	56	55	48	118
HTR6	0	0	2	0	0	0
TMCO4	216	212	175	435	567	772
RNF186	1	2	2	4	1	2
AL391883.1	0	0	0	0	0	0
OTUD3	633	780	613	256	293	441
PLA2G2E	0	0	0	0	1	1
RN7SL304P	0	0	0	0	0	0
PLA2G2A	2	1	0	3	3	7
PLA2G5	0	0	0	0	0	0
PLA2G2D	0	0	0	0	0	0
PLA2G2F	2	0	3	6	11	17
Z98257.1	1	0	0	0	0	0
PLA2G2C	0	0	0	0	0	0
UBXN10-AS1	0	0	0	1	2	3
UBXN10	36	56	35	165	195	320
LINC01757	0	0	0	0	0	0
Z98257.2	0	0	0	0	0	0
VWA5B1	0	0	0	0	0	1
AL020998.1	0	0	0	0	0	0
LINC01141	0	0	0	0	1	0
AL139254.1	0	0	0	0	0	0
AL139254.2	0	0	0	0	1	1
AL139254.3	0	0	0	0	1	0
CAMK2N1	646	754	599	1199	1470	1788
MUL1	348	389	331	280	351	577
RPS4XP4	0	0	0	0	0	1
FAM43B	1	0	0	0	0	0
CDA	363	358	353	81	88	133
PINK1	480	407	368	95	112	167
MIR6084	0	0	0	0	0	0
PINK1-AS	31	20	17	29	32	55
DDOST	3960	3870	3473	3092	3814	5642
KIF17	2	1	1	1	0	1
AL663074.2	0	0	0	0	0	0
SH2D5	7	5	10	1	3	8
AL663074.1	1	0	0	0	0	0
HP1BP3	4991	5579	4502	4651	5561	7710
EIF4G3	2676	2835	2519	3377	4035	5685
RNU7-200P	0	0	0	0	0	0
MIR1256	0	0	0	0	0	0
RPS15AP6	0	0	0	0	0	1
AL627311.1	0	1	0	0	0	0
HSPE1P27	0	0	0	0	0	1
AL031005.2	0	0	0	4	3	1
ECE1	2515	2715	2214	2337	2936	4216
AL031005.1	6	4	1	2	4	5
ECE1-AS1	0	1	4	3	2	7
PPP1R11P1	2	0	0	1	0	0
AL592309.1	0	0	0	0	0	0
AL592309.2	0	0	0	0	0	0
NBPF2P	2	5	5	8	8	11
HS6ST1P1	0	0	0	0	0	0
CROCCP5	0	0	0	1	0	0
NBPF3	119	127	126	146	190	233
PFN1P10	0	0	0	0	0	0
ALPL	0	1	1	0	0	1
LINC02596	0	0	0	0	2	2
RAP1GAP	1727	1780	1570	1745	2130	2748
USP48	1165	1277	1103	1614	1815	2884
AL590103.1	0	0	0	0	1	0
LDLRAD2	5	0	0	8	12	14
HSPG2	2662	2687	2224	5153	5917	7785
AL590556.1	2	1	0	0	0	1
AL590556.2	0	0	1	4	6	3
CELA3B	0	0	0	2	2	5
AL590556.3	0	0	0	0	0	0
RN7SL386P	0	0	0	0	0	0
RNU6-1022P	0	0	0	0	0	0
