baseMean	log2FoldChange	lfcSE	pvalue	padj
SLC6A6	3226.43130835114	2.80091377553915	0.0637253011581384	0	0
PFKFB4	2118.74250452563	5.46463708035437	0.0977063069755357	0	0
TKT	17393.0326451362	2.32015495252111	0.0394483712585964	0	0
GBE1	945.573294452383	3.79862777548793	0.0957812982205859	0	0
FAM162A	5363.29358540966	3.53419063412532	0.0562134504609635	0	0
MUC13	11519.0315407568	2.00462855139509	0.047424511563873	0	0
PLOD2	5853.43061773412	3.26323897366271	0.0586989042761259	0	0
PSMD2	11148.3771340919	2.68284510209868	0.0446572707665839	0	0
PCYT1A	2811.71691298317	2.09532995899845	0.0553807237421038	0	0
WFS1	1923.34509601772	3.07385275002272	0.0787036082783148	0	0
UGDH	2945.15118280736	2.46338396172477	0.0649088764731679	0	0
GPAT3	1406.38773068417	3.23458750559165	0.08238274390724	0	0
FAM13A	2109.5111208824	2.60900104116287	0.0619277905746036	0	0
SEC24D	2327.74434606302	2.39031715469334	0.0600151785766142	0	0
HMGCS1	16124.2840376194	4.19762313518527	0.0514275475127291	0	0
PELO	2707.21592508294	3.09899880214184	0.0584357905930871	0	0
ENC1	4437.01153325133	-2.4144489036841	0.0524881883600703	0	0
HMGCR	6175.97331202193	2.10449196162453	0.0482028129370103	0	0
FEM1C	2963.03612527355	2.75097346017958	0.0675514999534618	0	0
SLC12A2	8415.47169657099	-2.18406602481496	0.0456300060248183	0	0
DIAPH1	8662.7907917555	1.68085098514158	0.0439249322252204	0	0
GPX3	3211.70108098052	4.39796538842744	0.0680040708902245	0	0
TNIP1	4915.34070976806	2.27578497881388	0.0467412793556229	0	0
ATP6V0E1	2723.03073608355	2.60349287053191	0.0557840045400626	0	0
SQSTM1	44318.8614628091	4.90364746118246	0.0411359398337175	0	0
MRNIP	3126.48168144182	4.17179019735498	0.073376219348919	0	0
HLA-C	3375.19501879527	2.35645558093902	0.0593733564564362	0	0
HSPA1A	1853.87424858435	3.32199921458159	0.0776244521911263	0	0
HSPA1B	1754.52701567947	3.06208133716657	0.0808126205213682	0	0
NEU1	2620.28892541814	2.53510803144612	0.0562351082169622	0	0
PHF1	2286.05417215813	3.16290977228786	0.0642309300688732	0	0
HSP90AB1	47167.1750651361	2.01299871572742	0.0420313295981847	0	0
GCLC	6267.6620023916	3.45610427023579	0.0503998039685313	0	0
ME1	5120.95726027679	3.54890958407666	0.0525885393348403	0	0
ZNF292	4097.25137658226	3.06372443570815	0.0549617390936032	0	0
FBXO30	1910.70088520914	3.70254670541675	0.0753360823748464	0	0
PSMB1	5228.27008248011	2.00352261535641	0.0514588771384602	0	0
ZFAND2A	1454.62450327792	3.73944386528759	0.0802902058444835	0	0
YWHAG	13209.5690632282	1.87589142530003	0.0444206447956498	0	0
LMTK2	4204.26553188702	2.06315460082899	0.0516545061097988	0	0
DNAJC2	3500.51444015937	2.28661480879903	0.0551605708991466	0	0
PSMC2	5205.55748472467	2.26255000984278	0.0468422543173009	0	0
NAMPT	4514.41235345872	2.87248891115632	0.0615730116040104	0	0
HBP1	3097.42458800189	2.66199876212626	0.057824603205482	0	0
CFTR	3468.33726199095	-4.05908111351523	0.0658050362591043	0	0
HILPDA	1263.66652487996	3.23414949799938	0.0811745523533638	0	0
AKR1B10	2711.45806837336	3.47195558680455	0.0743836713524418	0	0
KMT2C	6854.52793822516	1.64964852351744	0.0428840143766651	0	0
INSIG1	15109.3564117203	4.631755072813	0.0655093688367512	0	0
BNIP3L	2303.01191238224	3.27276129559724	0.0802253992567266	0	0
GSR	2605.56193513806	2.54015226126559	0.05639989462666	0	0
ANXA13	5578.76360561916	-3.85201519043077	0.0624840094446758	0	0
CASC19	2465.86852859365	-2.66819976247021	0.0701202207054669	0	0
NDRG1	67721.6177205076	5.95868153802773	0.051850839598266	0	0
DNAJA1	5909.01824709449	2.11461706870121	0.0501510924608508	0	0
FAM219A	1919.4674442196	5.08349389142489	0.0922859002974348	0	0
VCP	19187.7815212826	3.13918765837449	0.0420769295158562	0	0
CA9	2510.93296287625	2.49614940691827	0.0618045452035985	0	0
ZFAND5	6557.28543527732	1.92022671262733	0.0511045576039397	0	0
UBQLN1	6784.58113303375	1.96384043995342	0.0490161222614443	0	0
ECPAS	6088.57242454182	2.03094338719812	0.0496033825733529	0	0
PTGR1	3430.489283345	2.34452433890451	0.0586956703628566	0	0
PSMB7	5015.63145889069	2.22023455248257	0.0483905095552484	0	0
ZBTB43	1667.14346588778	3.61473241575939	0.08733922972804	0	0
FAM102A	3438.68582590561	2.64631267140496	0.0570565251891499	0	0
IDI1	5493.84710595189	3.1638803951889	0.0637414265510362	0	0
PFKP	5567.47830162007	2.72398119941295	0.0523889463727385	0	0
AKR1C1	1731.85048916718	5.27680213111718	0.101906198191096	0	0
PFKFB3	8682.93524416769	5.17253384066442	0.0592182925763088	0	0
KIAA1217	2609.70523622131	2.44604966350042	0.0578407537932276	0	0
AIFM2	1679.18655014287	2.42630940343684	0.0638061700615172	0	0
PSAP	29617.0951874705	2.60093059788611	0.0450386386122286	0	0
P4HA1	7584.362590514	3.41522262724195	0.048417117416305	0	0
FUT11	1786.57727849576	3.67221358871033	0.0735533511581083	0	0
BLOC1S2	1559.67194455016	2.74792703101008	0.0705691669987302	0	0
SCD	44344.7764334854	2.02922459608578	0.0462072997978018	0	0
GBF1	3670.60331524247	1.88069058487224	0.0489917869832974	0	0
PSMD13	6772.19450699566	2.25365431693009	0.0498265748960273	0	0
TALDO1	9453.0765735125	1.75362051397716	0.0427336923786035	0	0
CTSD	6697.55172957768	2.75629999896566	0.0536705329668215	0	0
ADM	1424.95999015821	5.40215705011799	0.112206607744268	0	0
LDHA	61691.7816598339	3.16577126334863	0.0434209182802366	0	0
STX3	5187.34931712199	1.93126876182724	0.0464409198462621	0	0
KDM2A	6601.43478103191	1.96729432373104	0.0465064222594524	0	0
HSPA8	58850.7632394888	2.12744456838222	0.0459935381474167	0	0
GAPDH	87793.5557265171	2.58431706812207	0.0374357503512992	0	0
TPI1	18859.9940102402	1.81694694667155	0.0418987887393533	0	0
ENO2	5251.11047246196	4.85818566999031	0.0620512714436767	0	0
GABARAPL1	4695.02169546384	4.70797182650272	0.0639281775705412	0	0
MGST1	3308.47862654677	2.05852593467926	0.0511022157549697	0	0
IGFBP6	2062.78628705039	3.05955112165296	0.0633588257619003	0	0
TBC1D15	2589.8004113528	2.37608560846278	0.0621991325576205	0	0
NAA25	3830.78137472651	2.93144063708451	0.0586175162274263	0	0
C12orf49	4415.48198381572	2.79037469428494	0.0517015389851226	0	0
HCAR1	1151.17543110718	-3.59167603155019	0.0919046095816039	0	0
UBC	53064.3441908691	3.11459541226787	0.052208544004202	0	0
HSPH1	11862.0549993305	2.27259092965363	0.0421884222828639	0	0
ABHD4	1570.38880440461	4.34379096387233	0.0869846235535264	0	0
EGLN3	2285.09544629182	3.97492753658251	0.071313698284427	0	0
ERO1A	5562.85496897739	3.25428341763254	0.0596414378528732	0	0
RDH11	2995.43861416515	2.12516319871947	0.0539689144985288	0	0
DYNC1H1	15632.2975666677	2.18706242572808	0.0391419382223806	0	0
HSP90AA1	22977.3612865935	1.59623731661954	0.0394519780018633	0	0
MAP1A	3009.58944157112	7.66578624497976	0.146527173300672	0	0
PKM	57743.0565592694	2.72166857971364	0.0457865006018205	0	0
CLK3	4336.2344904355	3.0081780121632	0.0578598070279325	0	0
UNKL	1490.90182577039	3.79380431056753	0.0786833565220119	0	0
MT2A	2735.21487082108	4.4903557131538	0.0812659195465975	0	0
MT1E	3447.68791059761	3.16657710492425	0.0719781979080502	0	0
OSGIN1	2576.10937768154	5.21247307846643	0.0831894171414172	0	0
MVD	1605.55619712727	2.73519833596283	0.0699181017136006	0	0
ALDOC	2111.01020700637	3.19031534731801	0.0667248305899664	0	0
PSMD11	10094.000713569	2.78621094843615	0.0446975798264881	0	0
PSMB3	6556.28617528996	2.46643683146171	0.0493314294103851	0	0
PSMD3	4707.90797814617	2.68869191550691	0.0521590850748444	0	0
KRT19	15646.7486468586	2.33247856094056	0.0548537096931023	0	0
SPAG9	6144.93857836538	2.39396688884365	0.052711442293315	0	0
CLTC	17597.0066726831	1.86097987066097	0.048140729547969	0	0
WBP2	2743.11003438552	2.1438093228311	0.0563458735514098	0	0
UBE2O	2129.45009496557	2.79493962800614	0.0643454443827768	0	0
NPLOC4	6923.44990936859	2.36086078086913	0.0469599767458135	0	0
MAFG	5267.45709909518	2.96197900721976	0.0535756445056552	0	0
SLC16A3	3239.61701115791	2.97658256131737	0.0613612057344656	0	0
WDR45B	5613.98297192637	2.04840628884779	0.0466036918580733	0	0
NPC1	3478.57610487736	2.81695491672184	0.063660585865039	0	0
LAMA3	2469.74386502412	2.45743152143175	0.0600017446973642	0	0
MKNK2	10707.2376377	2.72790315326551	0.0526122632706267	0	0
UCA1	1777.64597529398	5.11676643889451	0.0936443108512778	0	0
GPI	19676.194682983	2.90970652358719	0.0445943861496852	0	0
PSMD8	7691.95210000705	1.81052544950418	0.0442514298238663	0	0
SAMD4B	6317.50339612037	1.98137668203304	0.0469503441262651	0	0
PSMC4	8547.8501071558	3.19560999062428	0.0446151759228244	0	0
DEDD2	2943.49463666976	3.11516735856826	0.0612327691725558	0	0
IGFL2-AS1	1810.28699978661	6.05900098051855	0.121143486268782	0	0
FTL	145679.760057509	3.80487008646062	0.0415130330740592	0	0
AKT1S1	4902.31089464166	2.14386193936632	0.052387905101248	0	0
TBC1D17	2882.39942098819	2.36637525623139	0.0557471885815862	0	0
SDCBP2	2036.83425964543	5.06982730319833	0.0945599081252567	0	0
NSFL1C	3089.11530667442	2.40294134703124	0.060024455147412	0	0
ACSS2	2301.62945768459	3.30909756548283	0.0645666962533442	0	0
BLCAP	5771.53740294781	2.15023823769555	0.0482104232604586	0	0
OSER1	5094.37986371618	2.72162634989387	0.05387741485236	0	0
PSMA7	9304.33610009366	2.09247770381783	0.0522812106393374	0	0
OSBPL2	4312.67207585435	2.24850522016508	0.0513382505145406	0	0
SLC5A3	1962.09504759566	2.24425415552524	0.059866979305316	0	0
UFD1	7029.94436935763	3.89453547597772	0.0507281052546796	0	0
CRKL	7155.60383123232	1.90050769585844	0.0490887374151002	0	0
HMOX1	16880.3605603616	8.74797310492325	0.0956602364388043	0	0
APOL2	2307.47536740726	4.46805938832967	0.0772776355820204	0	0
APOL1	3085.6930078198	4.03943221637294	0.0745612930747404	0	0
KDM5C	7696.29427734163	1.71717528371383	0.0455810578332187	0	0
PGK1	49356.0525288428	2.86671715096478	0.0368542087417699	0	0
GLA	4167.52733223753	4.20057224399797	0.0601583151864216	0	0
FTH1P8	2026.2284985802	3.50869286583662	0.0850081297030713	0	0
GABRE	3787.40292301498	1.94884407530863	0.0493973161163418	0	0
SLC6A8	5166.0375979037	2.3808659258384	0.0516513025701464	0	0
BCAP31	10119.806641055	1.8261101343547	0.0444509361246427	0	0
G6PD	4614.76793478773	2.28216306703837	0.0581287290401966	0	0
SUPT6H	6420.57003520393	1.7438554312412	0.0465026003612377	6.07162126102168e-308	7.05491254011432e-306
CLDN4	11331.4480973704	2.21012242249235	0.0590299439538587	1.75285005311197e-307	2.0263304338475e-305
CSTB	3377.78323057079	1.88157841935286	0.0503805426390028	7.39898500101666e-306	8.50995950015409e-304
ITPKC	1634.41927288747	2.47582628783138	0.0663845585950019	3.69493678400325e-305	4.22827664908816e-303
KLHL24	2320.29385923066	2.52604652902642	0.0679023113036512	6.11730972841059e-304	6.96512582041845e-302
PSMC6	2644.2938737232	2.47340685276144	0.0664473432341445	1.20235976141967e-303	1.36215337371235e-301
MAT2A	5261.59587212877	-1.73034741918608	0.0466550695068804	9.157231803209e-302	1.03226148356771e-299
DENND4C	3752.13085886597	1.88393023049577	0.0508003047236062	1.052703708546e-301	1.18080003110076e-299
PSMD12	6327.19423544189	1.92229173621993	0.0519156257993317	1.14748308300712e-300	1.28077200466874e-298
LDLR	5633.7930457555	2.51942344048678	0.0683158867221547	3.15439273579677e-298	3.5035407160629e-296
LIPG	2189.9216529552	2.25219585928451	0.0611611143544041	1.54301404501767e-297	1.70544449912246e-295
EPHB4	2460.66104593756	-2.30870523803954	0.0627542057464607	3.75823475968767e-297	4.1336933584953e-295
MORF4L2	8090.49017963228	1.73558074333499	0.0472420656539712	5.83846485101871e-296	6.39072157460782e-294
GPATCH2L	2309.076263369	2.1855755024987	0.059572280232797	2.36894684099524e-295	2.58055757323414e-293
STYK1	1436.43231406576	2.68644099991025	0.0734999010399824	2.70392477841843e-293	2.93136495834472e-291
FNIP1	1658.50652084293	2.59892062457095	0.0711883312744289	5.95708719100007e-293	6.42741340827046e-291
PSMD6	1924.22297509598	2.38258885760577	0.0652205805764127	9.59215588568506e-293	1.0300429765775e-290
SDCBP	10027.4497784506	2.11843639673976	0.0580409756990458	3.12042040385843e-292	3.33502290144454e-290
CLK1	4516.20467136417	1.77608041276172	0.0486824160488804	5.4822879063962e-292	5.83181593348005e-290
P4HB	13552.7665878797	1.55747156622804	0.0426767329411217	8.68382761946567e-292	9.19430683186229e-290
PNPLA8	2810.71577658829	2.23791726744119	0.0614887374899301	1.69887020614632e-290	1.79037214562155e-288
CASP4	4624.21524510241	2.08280484550612	0.05734946972172	2.9656535947141e-289	3.11091570134408e-287
STARD4	2567.4308830566	2.85276487938035	0.0786177180951847	3.26372743988844e-289	3.40781273423927e-287
TMCC1	1803.01430502568	2.26297587095539	0.0625857551753295	2.67939515831851e-287	2.78485025216426e-285
MICAL2	2962.64214806852	-2.06685726556322	0.0571616358912038	6.42410072063931e-287	6.64645087343586e-285
BLVRB	1429.01832892282	2.53933096568199	0.070575241281108	4.88680512446858e-284	5.03296502319132e-282
PLK2	3875.20002305064	-2.23659759267985	0.06236938803645	2.01000533821305e-282	2.06075569924123e-280
GLRX	1095.10487402637	3.01539132915321	0.0840769908913176	8.14504344071138e-282	8.31308082340714e-280
F2R	955.206335630209	-4.21199546914857	0.117641293394032	2.85052176068093e-281	2.89628350015733e-279
MAP2K1	3006.56017179862	2.07912561990187	0.0580943672563043	5.1324881730828e-281	5.19160343864777e-279
KITLG	980.73164761895	-3.39065975140996	0.0948061818389462	5.61829207505092e-281	5.65774497051128e-279
SELENOK	1035.03906004664	3.07077066723236	0.0857450871598077	7.78162055873266e-281	7.80159108937011e-279
VEGFA	16284.9008364466	1.84725069028632	0.0516694282733816	1.65977626548919e-280	1.65670531380855e-278
CREBRF	2060.16001517887	3.00810712801389	0.084377174616147	2.25092558286244e-279	2.23690666037268e-277
TTC1	2042.76430648001	2.17690048485342	0.0613347850133404	8.22444204133879e-277	8.13752872369669e-275
SLC12A7	6015.34383078444	1.91649523228098	0.0540082988117776	1.24422655798849e-276	1.22572545003927e-274
RBM15	1548.9525495299	2.4955828036237	0.0704717870075286	7.23033691368667e-276	7.09199020737284e-274
SERTAD2	2557.21613683937	2.36273046626326	0.0666649799088171	1.04730336822265e-275	1.02283619470641e-273
FASN	8368.16059201062	2.06079919228619	0.0582944835915298	1.48537777860983e-274	1.44445020204899e-272
DHCR7	4347.29978976785	1.84381056618596	0.0522078391229972	4.27022233451154e-274	4.13481613911806e-272
ZSWIM6	1484.07249352165	2.43237705641556	0.068954851082828	2.10620220146694e-273	2.0307374247165e-271
EPB41	3482.97568099062	1.82056435412408	0.051607694212203	2.68514413339654e-273	2.57796592264825e-271
USP5	2823.08560636578	1.93386667262775	0.0550055429468803	1.57896330977446e-271	1.50954222248396e-269
SERPINB5	1729.00435250681	2.5576009939439	0.0727512017727185	6.85475251028645e-271	6.52583959571725e-269
ASPH	11093.5521976075	1.58074545600006	0.0450075826444852	7.17660202919848e-271	6.80365894466859e-269
PSMD4	3785.00067522772	1.75229051561644	0.0499797933672982	9.02954543568991e-270	8.52464335341092e-268
SQLE	10553.0647422383	2.1692498014687	0.0619293756681404	9.47857573189605e-270	8.91143439557264e-268
HELZ	5319.11041635306	1.84868777646902	0.0528008074080266	2.2205797341128e-269	2.07908659568297e-267
PSMC5	3847.13179555946	2.09176269893112	0.0598461304705221	5.04682694486731e-268	4.70580267147339e-266
TXN	10878.5487516168	1.8216602813681	0.0522240233144977	3.82285987650764e-267	3.54993274925862e-265
FAF2	4072.83984905211	1.67227055990875	0.0480211401354753	1.50157274923091e-266	1.38867899396221e-264
PRDX1	5965.00040071295	1.78992691153223	0.0514618135453273	1.46897796660826e-265	1.35301230761829e-263
IDE	3209.29774128734	1.93502516801818	0.055678946181532	2.31952010879303e-265	2.12776059210658e-263
ACSL1	2309.05630379805	1.94093897263469	0.0558996042550297	8.02323038359773e-265	7.33025621094989e-263
ELF3	4898.63943032022	1.81751776173807	0.0523935158904546	3.12101140084009e-264	2.83999503294116e-262
FLNA	12725.8009686002	1.52473848254372	0.0439445195359126	4.1400313370189e-264	3.75219320136697e-262
RB1CC1	3940.84380346089	1.93393227377548	0.0560341071404313	1.36481045604162e-261	1.23202690490004e-259
IL6R	973.459896469264	3.3035108664268	0.0957565509795245	1.32881437014977e-260	1.19477285709736e-258
BIRC6	10918.6626143511	1.64020220976634	0.0476215265852549	1.63136262808337e-260	1.46100452281079e-258
CRY2	1191.01812662478	2.58256967137358	0.0750804184874739	3.55428535079822e-260	3.17059045190497e-258
PLEKHM3	1308.83040627319	2.52470951472459	0.0734353642159389	6.6924219989222e-260	5.94654500594429e-258
ADPGK	2837.31245094022	1.7979865289423	0.0523093651094212	1.80636604884125e-259	1.59877507557208e-257
POR	2181.83367910672	2.04387567632421	0.0595830180634612	2.3899920312069e-258	2.10709881101501e-256
MT1X	741.086009650587	6.05603435722471	0.176376810017215	3.25165149879887e-258	2.85565580076686e-256
ABL2	1465.73829154982	2.35806724755169	0.0687895801609378	4.94432318134061e-258	4.32542373138284e-256
TMEM41B	2493.19335480375	2.4666443052349	0.0721993125682613	4.64752088961972e-257	4.05013570450014e-255
ACADVL	6048.60983888432	1.57151628047398	0.0461340858102958	4.07398630302054e-255	3.53671960359538e-253
TNS4	843.017646124553	-3.66634682579416	0.107645709537601	5.23200559811914e-255	4.52468636802227e-253
PCK2	1508.51905618539	-2.78895471677872	0.0819781359084602	1.07382434409258e-254	9.25122128838395e-253
SERINC3	7981.04254019442	1.55740419597924	0.045766683786815	1.78719361172226e-254	1.53387245660617e-252
RTN3	9776.67370772553	1.58731807633814	0.0466433724677754	2.54945228351245e-254	2.17982980527641e-252
LMO4	2225.15035310458	-2.09633570209058	0.0616290878572508	2.56259601216594e-254	2.18283084374646e-252
DDIT3	3732.66457165698	2.38533644111286	0.0701474028755935	6.7411517813136e-254	5.72063734310875e-252
MAPRE3	836.452550053693	3.26076667763246	0.0959646636426896	1.85170038491652e-253	1.56551594482979e-251
PSMC3	4055.4418460354	1.66189039799266	0.0489596186826757	4.34127271640695e-253	3.65667498915794e-251
TM4SF4	5729.82621097671	-1.75090009209971	0.0516130373812427	7.81438982946652e-253	6.55772017615009e-251
SLITRK6	1446.55124172309	-2.63910622177231	0.0779325361214376	1.77630126630528e-252	1.48514516944447e-250
CHD2	9514.72174176823	1.51205577810466	0.0446270324977921	3.23557516420344e-252	2.69528169376918e-250
FAM241B	675.572836681005	3.63235778742603	0.107642597954109	9.36859619307218e-250	7.77559166822818e-248
ALKBH5	1807.84692565981	2.10633683843318	0.0626280057204835	5.04914642015824e-249	4.17531239372063e-247
TPX2	3489.53967983058	-1.77713411984019	0.052882675924625	2.65969532885424e-248	2.19139551858834e-246
CREM	688.141691698357	3.37065533349644	0.100485141832784	9.07292268327451e-248	7.44834355643601e-246
TCP11L2	1071.68122497694	2.8428847398408	0.0846204976901031	1.17092729954682e-247	9.57793167983096e-246
RNMT	3673.643402326	1.91145383344173	0.0570412237099632	6.32543883760381e-247	5.15546018641824e-245
ATG4A	731.616592227895	3.24755313309162	0.0971908106252679	1.84117018208213e-245	1.49524136149165e-243
FRAS1	2486.53421100237	-1.8590559823939	0.055701370277402	6.43024405547979e-245	5.20344535032361e-243
EGR1	1284.83921208108	-3.70840400836176	0.111237750447407	1.47428751630429e-244	1.18876891617162e-242
CLEC3A	862.431557552382	-3.77526845855258	0.113311167544017	6.21135104469479e-244	4.99066638193952e-242
CTDP1	960.790004482118	2.75862825480466	0.0830643035274864	1.51352391862751e-242	1.21178180029195e-240
TXNL1	2646.23977280757	1.9521415045477	0.058813636021799	4.91845962141341e-242	3.92403021485863e-240
HCFC1	5486.86002242132	1.87409553484064	0.0565818167286375	2.11925119377454e-241	1.68484187889626e-239
ABHD2	11035.5325219341	1.34661304008985	0.0406161684949749	2.17178644470934e-241	1.72057123301483e-239
P4HA2	2064.55145710582	2.37784029004756	0.0717294940878978	2.39993856093443e-241	1.89469713984852e-239
LASP1	13586.6802135699	1.46440522118659	0.0442749530193642	1.8344731355659e-240	1.44324626061292e-238
RNF24	1107.8536125621	2.46169146484401	0.0748099129673945	2.71441214396733e-238	2.12813669058865e-236
MSANTD3	947.69893470037	2.71303264964198	0.0827114172625183	2.73637572498129e-237	2.13795866126297e-235
NQO1	10228.3303712597	1.58094507239139	0.0481490763246322	5.64802781223022e-237	4.39769808142654e-235
AJUBA	1579.08489969768	-2.61857191712623	0.0798483929723131	8.64922429608451e-237	6.71144260618777e-235
BCL2L13	2393.56858784428	1.83873496058014	0.0560796904208414	2.47565365116229e-236	1.91444916136639e-234
DNAJB6	2317.13876431253	1.8102256321782	0.0552407785215017	3.50963447734256e-236	2.70480605400094e-234
PHTF1	1039.31430898349	2.61927952015176	0.0802941078879744	1.08121100607699e-234	8.30443355108216e-233
UBFD1	2748.32227540714	1.83578723650009	0.056234879269705	2.69546175072467e-234	2.06330311986215e-232
FDFT1	5364.46113945052	1.48871866757579	0.0456128681425638	4.26251979681241e-234	3.25185769549413e-232
USP14	7019.81218191853	1.65746532566966	0.0508208231711543	8.38842126371193e-234	6.3780150668854e-232
SFN	1631.53425596582	2.2711545659678	0.069907968163774	3.47374785509639e-232	2.63238056524327e-230
SEM1	2764.43338071267	2.10817236869613	0.0648611545641901	3.49128030110113e-232	2.63684763541165e-230
MICALL2	2234.51371127612	2.23132267630318	0.0689990413352819	1.45996197870647e-230	1.09899729280835e-228
MXD1	2638.16418838885	1.96101589573989	0.0605787146079175	2.60636824588156e-230	1.95546661308558e-228
BAG3	1390.88475341308	2.22530301366731	0.0688430594151748	3.0766016210608e-230	2.30064816930678e-228
LAMB3	7529.34579445427	2.2161924139031	0.0685482940207449	7.07169749009486e-230	5.27074084640031e-228
MED15	4027.44371667397	1.8005104845815	0.0557517501522546	1.47298403253355e-229	1.09425810521788e-227
ABTB2	1895.13100212879	2.06096782874123	0.0638461321938563	3.43057630049293e-229	2.54019600707742e-227
MECOM	1099.67103167829	-2.75624190246189	0.0854691038517326	3.61715713903641e-229	2.66962692040022e-227
PPARD	1483.26061514614	2.1594655611443	0.0670808664454012	4.49081205346701e-228	3.30366297102128e-226
UBR3	2389.31700225042	1.97789971639888	0.0614431577973219	5.97156654527343e-228	4.37876229070567e-226
HTT	3646.26438159796	1.63088635379182	0.0506709643589107	7.28945905538464e-228	5.32788913796468e-226
PSMA5	5041.59311139521	1.92464971261081	0.0598183920450709	1.3861532287599e-227	1.00988616904314e-225
SPATS2	1896.86426795122	1.9055915785201	0.0594386148482619	3.68897726506286e-226	2.6790015023011e-224
MAP3K2	3775.68405581197	1.81168829944366	0.0565899011010039	1.56007419731226e-225	1.12933422245052e-223
PNRC1	1361.02925866473	2.45367380606226	0.0771696019164966	5.37165540463239e-223	3.87614548274397e-221
TAX1BP1	10428.1806994711	1.75739285126479	0.0552452083092542	1.34644415337044e-222	9.684994167323e-221
ARF1	9322.62169474004	1.28723241563883	0.0406135281086524	7.08343560112796e-221	5.07900265349232e-219
FERMT1	2115.54000911269	-1.88589067038043	0.059577909781309	1.18470478886002e-220	8.46783631103797e-219
SMG1	9544.55685906055	1.4338605318414	0.0453369817065413	5.90555459037829e-220	4.20780050027646e-218
VCPIP1	1634.47754664941	2.13499355398687	0.0677129683268029	5.15551183636092e-219	3.66186793693623e-217
SOD1	3231.44771866891	1.81919230075748	0.0577476093148608	1.05008345772756e-218	7.43524718287223e-217
MKRN1	4030.39954696499	1.51453837549907	0.0481815474236096	2.11216442236498e-217	1.49088540442198e-215
ZFP36	4556.16302472345	1.88230402131177	0.059944532564963	5.17789095855981e-217	3.64349855090212e-215
PSMB5	2545.84807537587	1.73191180672368	0.0552033889826442	1.62326145674976e-216	1.13869529681226e-214
RIOK3	3851.87214126533	2.06347902792313	0.065795430871296	2.41658428238161e-216	1.68996810710502e-214
SMCR8	1326.53530286366	2.22152685638997	0.0709987145463248	6.40513462232665e-216	4.46546277762084e-214
PSMA4	6362.96625124708	1.60223817762778	0.0511719955582763	1.2664623788759e-215	8.80230201857978e-214
ARRDC3	2402.45125371339	2.26619049966295	0.0724734124600097	2.25272607512549e-215	1.56092560887442e-213
ATP6V1A	3787.75192757009	1.73557868892466	0.0555010171057604	3.03874998459048e-215	2.09914625459912e-213
DERL1	5553.58882821001	1.52382911801779	0.0488657783179763	6.31287527842807e-214	4.34763307169068e-212
WDR26	4304.24166921763	1.67272322096459	0.0537020964148014	1.26422972045952e-213	8.6802778806581e-212
NOX1	717.309601832051	-5.32734019903554	0.170981931265313	3.36968182803997e-213	2.30665410452355e-211
